Value,Category
182,Plains Western
18201,Kokrajhar
18202,Dhubri
18203,Goalpara
18204,Bongaigaon
18205,Barpeta
18206,Kamrup
18207,Nalbari
183,Cachar Plain
18319,Karbi Anglong
18320,North Cachar Hills
18321,Cachar
18322,Karimgang
18323,Hailakandi
184,Central Brahmputra Plains
18408,Darrang
18409,Marigaon
18410,Nagaon
18411,Sonitpur
19,West Bengal
191,Himalayan
19101,Darjiling
19102,Jalpaiguri
19103,Kochbihar
192,Eastern Plains
19204,Uttar Dinajpur
19205,West Dinajpur
19206,Maldah
19207,Murshidabad
19208,Birbhum
19210,Nadia
193,Southern Plains
19311,24-Parganas ( North )
19317,Kolkata
19318,24-Parganas ( South )
194,Central Plains
19409,Barddhaman
19412,Hugli
19416,Howrah
195,Western Plains
19513,Bankura
19514,Puruliya
19515,Medinipur
20,Jharkhand
201,Rachi Plateau
20101,Garhwa
20102,Palamu
20114,Ranchi
20115,Lohardanga
20116,Gumla
20117,Singhbhum(W)
20118,Singhbhum(E)
202,Hazaribagh Plateau
20203,Chatra
20204,Hazaribagh
20205,Kodarma
20206,Giridih
20207,Deoghar
20208,Godda
20209,Sahibganj
20210,Pakuar
20211,Dumka
20212,Dhanbad
20213,Bokaro
21,Orissa
211,Coastal
21108,Baleshwar
21109,Bhadrak
21110,Kendrapara
21111,Jagatsinghapur
21112,Cuttack
21113,Jajapur
21116,Nayagarh
21117,Khordha
21118,Puri
212,Southern
21219,Ganjam
21220,Gajapati
21221,Kandhamal (Phulbani)
21222,Baudh
21223,Sonapur
21224,Bolangir
21225,Nuapada
21226,Kalahandi
21227,Rayagada
21228,Nabarangapur
21229,Koraput
21230,Malkangiri
213,Northern
21301,Bargarh
21302,Jharsuguda
21303,Sambalpur
21304,Debagarh
21305,Sundargarh
21306,Keonjhar
21307,Mayurbhanj
21314,Dhenkanal
21315,Anugul
22,Chhattishgarh
221,Northern Chattishgarh
22101,Koriya
22102,Surguja
222,Mahanadi Basin
22203,Jashpur
22204,Raigarh
22205,Korba
22206,Janigir-Champa
22207,Bilaspur
22208,Kawardha
22209,Raj Nandgaon
22210,Durg
22211,Raipur
22212,Mahasamund
22213,Dhamtari
223,Southern Chhattishgarh
22314,Kanker
22315,Bastar
22316,Dantewada
23,Madhya Pradesh
231,Vindhya
23108,Tikamgarh
23109,Chhatarpur
23110,Panna
23113,Satna
23114,Rewa
23115,Umaria
23116,Shadol
23117,Sidhi
232,Central
23211,Sagar
23212,Damoh
23231,Vidisha
23232,Bhopal
23233,Sehore
23234,Raisen
233,Malwa
23318,Neemuch
23319,Mandsaur
23320,Ratlam
23321,Ujjain
23322,Shajapur
23323,Dewas
23324,Jhabua
23325,Dhar
23326,Indore
23330,Rajgarh
234,South
23438,Katni
23439,Jabalpur
23440,Narsimhapur
23441,Dindori
23442,Mandla
23443,Chhindwara
23444,Seoni
23445,Balaghat
235,South Western
23527,W. Nimar ( Khargoan )
23528,Barwani
23529,E. Nimar ( Khandwa )
23535,Betul
23536,Harda
23537,Hoshangabad
236,Northern
23601,Sheopur
23602,Morena
23603,Bhind
23604,Gwalior
23605,Datia
23606,Shivpuri
23607,Guna
24,Gujarat
241,South Eastern
24117,Panch Mahals
24118,Dohad
24119,Vadodara
24120,Narmada
24121,Bharuch
24122,Surat
24123,The Dangs
24124,Navsari
24125,Valsad
242,Plains Northern
24204,Mahesana
24205,Sabar Kantha
24206,Gandhinagar
24207,Ahmedabad
24215,Anand
24216,Kheda
243,Dry areas
24302,Bans Kantha
24303,Patan
244,Kachchh
24401,Kachch
245,Saurashtra
24508,Surendranagar
24509,Rajkot
24510,Jamnagar
24511,Porbandar
24512,Junagadh
24513,Amreli
24514,Bhavnagar
25,Daman & Diu
251,Daman & Diu
25101,Diu
25102,Daman
26,Dadra & Nagar Haveli
261,Dadra & Nagar Haveli
26101,Dadra & Nagar Haveli
27,Maharashtra
271,Coastal
27121,Thane
27122,Mumbai Suburban
27123,Mumbai
27124,Raigarh
27132,Ratnagiri
27133,Sindhudurg
272,Inland Western
27225,Pune
27226,Ahmadnagar
27230,Solapur
27231,Satara
27234,Kolhapur
27235,Sangli
273,Inland Northern
27301,Nandurbar
27302,Dhule
27303,Jalgaon
27320,Nashik
274,Inland Central
27415,Nanded
27416,Hingoli
27417,Parbhani
27418,Jalna
27419,Aurangabad
27427,Bid
27428,Latur
27429,Osmanabad
275,Inland Eastern
27504,Buldana
27505,Akola
27506,Washim
27507,Amravati
27508,Wardha
27509,Nagpur
27514,Yavatmal
276,Eastern
27610,Bhandara
27611,Gondiya
27612,Gadchiroli
27613,Chandrapur
28,Andhra Pradesh
281,Costal Northern
28111,Srikakulam
28112,Vizianagaram
28113,Visakhapatnam
28114,East Godavari
28115,West Godawari
282,Costal Southern
28216,Krishna
28217,Guntur
28218,Prakasam
28219,Nellore
283,Inland North Western
28301,Adilabad
28302,Nizamabad
28304,Medak
28305,Hyderabad
28306,Rangareddy
28307,Mahbubnagar
284,Inland North Eastern
28403,Karimnagar
28408,Nalgonda
28409,Warangal
28410,Khammam
285,Inland Southern
28520,Cuddapah
28521,Kurnool
28522,Anantpur
28523,Chittoor
29,Karnataka
291,Coastal & Ghats
29110,Uttar Kannad
29116,Udupi
29124,Dakshin Kannad
292,Inland Eastern
29215,Shimoga
29217,Chikmagalur
29223,Hassan
29225,Kodagu
293,Inland Southern
29318,Tumkur
29319,Kolar
29320,Bangalore
29321,Bangalore ( Rural )
29322,Mandya
29326,Mysore
29327,Chamarajanagar
294,Inland Northern
29401,Belgaum
29402,Bagalkot
29403,Bijapur
29404,Gulbarga
29405,Bidar
29406,Raichur
29407,Koppal
29408,Gadag
29409,Dharwad
29411,Haveri
29412,Bellary
29413,Chitradurga
29414,Davanagere
30,Goa
301,Goa
30101,North Goa
30102,South Goa
31,Lakshadweep
311,Lakshadweep
31101,Lakshadweep
32,Kerala
321,Northern
32101,Kasaragod
32102,Kannur
32103,Wayanad
32104,Kozhikode
32105,Malapuram
32106,Palakkad
322,Southern
32207,Trissur
32208,Ernakulam
32209,Idukki
32210,Kottayam
32211,Alappuzha
32212,Pathanamthitta
32213,Kollam
32214,Triruvananthapuram
33,Tamil Nadu
331,Coastal Northern
33101,Thiruvallur
33102,Chennai
33103,Kancheepuram
33104,Vellore
33106,Tiruvanmalai
33107,Viluppuram
33118,Cuddalore
332,Coastal
33214,Karur
33215,Tiruchirapalli
33216,Perambalur
33217,Arivalur
33219,Nagapattinam
33220,Thiruvarur
33221,Thanjavur
33222,Pudukkottai
33229,Tirunelveli
33230,Kanniyakumari
333,Southern
33313,Dindigul
33323,Siyaganga
33324,Madurai
33325,Theni
33326,Virudhunagar
33327,Ramnathapuram
33328,Toothukudi
33329,Tirunelveli
33330,Kannyia kumari
334,Inland
33405,Dharmapuri
33408,Salem
33409,Namakkal
33410,Erode
33411,The Nilgiris
33412,Coimbatore
34,Pondicherry
341,Pondicherry
34101,Yanam
34102,Pondicherry
34103,Mahe
34104,Karaikal
35,Andaman & Nicobar Islands
351,Andaman & Nicobar Islands
35101,South Andaman
35102,Nicobars
35103,North and Middle Andaman
